operator,compared_with,provenance,same_target_order,fingerprint_distance
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,True,0.17289758711607303
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,True,0.14542850844049685
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k2_m200,reference,False,0.25096381475914886
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k4_m200,reference,False,0.14498473630910094
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k6_m200,reference,True,1.0
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k8_m200,reference,False,1.0
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,promoted,True,0.36698472574597457
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,promoted,True,0.33752483363212943
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,promoted,True,0.49791086256488065
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,promoted,True,0.36632390193202646
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,True,0.22378286099921857
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,True,0.38404470203995394
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,reference_mole_k2_m200,reference,False,0.4450418679126286
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,reference_mole_k4_m200,reference,False,0.3987218794602656
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,reference_mole_k6_m200,reference,True,1.0
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,reference_mole_k8_m200,reference,False,1.0
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,promoted,True,0.1755063897560715
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,promoted,True,0.41385292408076024
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,promoted,True,0.32120220912617514
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,promoted,True,0.17289758711607303
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup,True,0.22378286099921857
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,True,0.2005539473932861
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,reference_mole_k2_m200,reference,False,0.2915948955430936
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,reference_mole_k4_m200,reference,False,0.20125160751937696
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,reference_mole_k6_m200,reference,True,1.0
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,reference_mole_k8_m200,reference,False,1.0
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,promoted,True,0.14534870764574842
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,promoted,True,0.24683502208753613
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,promoted,True,0.13121517004020986
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,promoted,True,0.14542850844049685
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup,True,0.38404470203995394
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,True,0.2005539473932861
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,reference_mole_k2_m200,reference,False,0.2509631435675742
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,reference_mole_k4_m200,reference,False,0.14757605615009817
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,reference_mole_k6_m200,reference,True,1.0
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,reference_mole_k8_m200,reference,False,1.0
