term,log_odds,std_error,odds_ratio,ci_low,ci_high,p_value
Intercept,-1.2499596824112882,0.3187171669560804,0.2865163482756149,0.15340936695191118,0.5351147681544537,8.787310936940763e-05
C(archive_condition)[T.structure_only],0.6288051426623992,0.4790954787671871,1.875368442270227,0.733284152209782,4.7962400164580306,0.1893568864954751
C(archive_condition)[T.full_metrics],1.838608394441778,0.318659656457848,6.28778205738896,3.3670448743466115,11.742107597807026,7.935693727621065e-09
C(archive_condition)[T.illumination],1.7719336908857366,0.3134022742693639,5.8822167601284985,3.1824942138013124,10.872124720003265,1.56880782260033e-08
C(model_id)[T.nvidia/Cosmos3-Super-Reasoner],0.043129498038896846,0.24572173660958507,1.0440730915143883,0.6450128075506122,1.6900263183361308,0.8606697177893081
C(model_id)[T.zai-org/GLM-5.2],-0.6153566142485886,0.2922071401840176,0.540448129436251,0.30480513475293497,0.9582652892245287,0.03521375395929415
C(role)[T.adversarial_verifier],-0.5392069789927402,0.30294065330652103,0.5832105672685494,0.32207505856323343,1.0560723555901306,0.07509075529989417
C(role)[T.architecture_proposer],-0.34110942293443447,0.32484857617833296,0.7109811063108515,0.3761329407550682,1.3439241256462355,0.2936920462616862
C(role)[T.spectral_critic],0.054356021299788185,0.24201905986046643,1.0558604440549366,0.6570459419835316,1.6967478315965776,0.8222951568470602
