strategy,label,n_seeds,mean_external_auc,std_external_auc,median_external_auc,median_delta_vs_random,exact_p_vs_random,holm_p_vs_random
heuristic,Expert-informed prior,10,1.3095112917678355,0.3822582358643365,1.4949575597406166,0.8673053225545113,0.005859375,0.03515625
llm_illumination,LLM: illumination,10,0.9388826552823811,0.592688726930362,1.1466857852164107,0.6307187342129597,0.02734375,0.13671875
llm_full_metrics,LLM: full metrics,10,0.9158624877096564,0.9034995335122343,1.4958487211069054,0.5154883654038962,0.0703125,0.28125
llm_no_archive,LLM: no archive,10,0.8983580976866795,1.1198127067185646,1.4141743689256248,0.4257174522784696,0.189453125,0.37890625
surrogate,ExtraTrees surrogate,10,0.4599503625334715,0.7128356127096328,0.2782979742498962,0.009371439790548192,0.09375,0.28125
llm_structure_only,LLM: structure only,10,0.33516029796889935,1.4548402689770912,0.8294353255434731,0.5057932429908982,0.662109375,0.662109375
uniform_random,Uniform random,10,0.10044943559145428,1.193806755053279,0.2926996796917864,,,
