endpoint,refined,passes,eligible_calls,pass_rate,two_sided_fisher_p
notebook_hard_pass,False,20,55,0.36363636363636365,1.0
notebook_hard_pass,True,16,42,0.38095238095238093,1.0
external_pass,False,25,55,0.45454545454545453,0.8404378429863986
external_pass,True,20,42,0.47619047619047616,0.8404378429863986
