label,order,cells,scaled_spectral_radius,q_condition_bound,q_similarity_residual,low_frequency_pde_error,mixed_frequency_pde_error
MOLE_reference,6,160,6.16596819061471,1.8973118086071485,0.481490000547484,8.409207869340493e-13,1.2965719146430364e-09
v4_diagonal_candidate,6,160,8.26645420468327,2.0573940729604487,2.251965691433091e-16,3.4247342224463985e-09,5.5878422452737e-06
open_block_regression:prog_k6_block_psd_reflection_hybrid_7380717ca753,6,160,6.165973647119612,1.6990436354026712,1.409330297334294e-16,1.226074630678203e-10,2.21295079346296e-07
MOLE_reference,8,160,6.6171730245660445,inf,inf,1.2959151864107312e-12,1.3444893516048175e-11
v4_diagonal_candidate,8,160,6.617067911218088,2.0594914813688567,1.893329249098124e-16,1.4617409141898274e-10,1.9586011738115277e-07
open_block_regression:prog_k8_block_psd_asymmetric_hybrid_5499c4ce8cfa,8,160,6.617516920736185,2.028803277703688,1.941465655632561e-16,3.26764942054773e-11,3.3860115785480195e-08
