condition,seed,program_id,generation_count
full_feedback,5,prog_k6_block_psd_asymmetric_max_margin_2255d26af255,1
full_feedback,5,prog_k6_block_psd_asymmetric_max_margin_4329d501c75d,1
full_feedback,4,prog_k8_block_psd_asymmetric_hybrid_73c561b2efdc,1
diagnostic_only,6,prog_k8_block_psd_asymmetric_hybrid_c597958678c7,1
diagnostic_only,6,prog_k8_block_psd_asymmetric_hybrid_dd6d139a55cf,1
diagnostic_only,6,prog_k8_block_psd_asymmetric_max_margin_75fe4a26bd19,1
diagnostic_only,6,prog_k8_block_psd_asymmetric_max_margin_d6876898fe39,1
diagnostic_only,6,prog_k8_block_psd_reflection_hybrid_89105b05fdd2,1
diagnostic_only,6,prog_k8_block_psd_reflection_max_margin_fa8a7f02ace7,1
diagnostic_only,6,prog_k8_diagonal_asymmetric_max_margin_47d0edb8e254,1
diagnostic_only,6,prog_k8_diagonal_reflection_hybrid_621df8ced1dc,1
full_feedback,6,prog_k8_block_psd_reflection_hybrid_dfa85e8e60b6,1
diagnostic_only,7,prog_k6_block_psd_reflection_hybrid_5dbc296ae84c,1
diagnostic_only,7,prog_k6_block_psd_reflection_hybrid_9337c1eba59c,1
diagnostic_only,7,prog_k6_block_psd_reflection_hybrid_97e0984a4485,1
diagnostic_only,7,prog_k6_block_psd_reflection_hybrid_d030d026a472,1
diagnostic_only,7,prog_k8_block_psd_asymmetric_hybrid_e42635c76ab8,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_3f323a724e6d,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_421bebb97409,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_4d3281a37278,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_7bfb274e1f65,1
diagnostic_only,6,prog_k8_diagonal_reflection_hybrid_c288a5706da3,1
diagnostic_only,4,prog_k8_block_psd_reflection_hybrid_c2f483d714a9,1
diagnostic_only,4,prog_k8_diagonal_asymmetric_hybrid_2dfd5ad35394,1
diagnostic_only,4,prog_k8_diagonal_asymmetric_hybrid_982d3b49164f,1
diagnostic_only,5,prog_k6_block_psd_reflection_hybrid_4ace9b2d140d,1
diagnostic_only,5,prog_k6_diagonal_reflection_hybrid_92630a4e2233,1
diagnostic_only,5,prog_k8_block_psd_asymmetric_hybrid_06ada8c8c7c2,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_0e170711ddf9,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_1afbad0abd17,1
