archive_condition,solver_calls,hard_passes,pass_rate,predictions_supplied,best_utility
cold,120,15,0.125,117,1.6748407967467664
archive_only,107,42,0.3925233644859813,107,1.623065587346043
diagnostic_only,120,16,0.13333333333333333,120,1.6230655873554791
full_feedback,114,38,0.3333333333333333,114,1.6230655864794057
two_stage,111,33,0.2972972972972973,111,1.5917420636833488
