operator_group,operators,symmetry_residual_max,min_eigenvalue_min,cg_applicable,original_solution_error_min,original_solution_error_max,symmetric_part_solution_error_min,symmetric_part_solution_error_max
Exact constructions (7),7,1.2320723772556416e-16,0.04934802159947008,True,9.381927981431289e-09,5.871696681644892e-06,9.381487474787702e-09,5.871696059235647e-06
MOLE/CC order 2,1,0.07195408441939963,0.0493314449341223,False,0.00024117204726144544,0.00024117204726144544,0.0010509232767430563,0.0010509232767430563
MOLE/CC order 4,1,0.14851456664157534,0.04894592428097284,False,3.4715490802778644e-07,3.4715490802778644e-07,0.024060430979793303,0.024060430979793303
MOLE/CC order 6,1,0.522351240707882,-26.000484784797088,False,1.002510282683709e-09,1.002510282683709e-09,0.27836556195491635,0.27836556195491635
MOLE/CC order 8,1,0.8900549283678426,-844.8656645590282,False,6.14997078965363e-12,6.14997078965363e-12,0.3687853465724258,0.3687853465724258
