table,operator,quantity,user_value,authoritative_value,absolute_difference
poisson_solver_comparison.csv,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,gmres_solution_error,3.393034176655712e-07,3.3930337137232156e-07,4.629324964358861e-14
poisson_solver_comparison.csv,reference_mole_k2_m200,gmres_solution_error,0.000241172070074,0.00024117207266583575,2.5918357629377275e-12
poisson_solver_comparison.csv,reference_mole_k4_m200,gmres_solution_error,3.4715322238194973e-07,3.47153207405171e-07,1.4976778752042548e-14
poisson_solver_comparison.csv,reference_mole_k6_m200,gmres_solution_error,1.0147804353114027e-09,1.0147343054966979e-09,4.612981470486509e-14
poisson_solver_comparison.csv,reference_mole_k8_m200,gmres_solution_error,2.4832441637427765e-11,2.483241315470678e-11,2.8482720985706476e-17
poisson_solver_comparison.csv,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,gmres_solution_error,1.254110132897897e-07,1.2541103740218303e-07,2.4112393338817276e-14
poisson_solver_comparison.csv,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,gmres_solution_error,1.8405339998013017e-08,1.8405298218048973e-08,4.177996404452738e-14
poisson_solver_comparison.csv,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,gmres_solution_error,9.413120803910286e-09,9.413062369303385e-09,5.843460690128944e-14
poisson_solver_comparison.csv,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,gmres_solution_error,3.03686879627846e-07,3.0368689434949257e-07,1.472164655203848e-14
implicit_heat_step.csv,full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,backward_euler_weighted_symmetry_residual,8.475312602616802e-17,8.475312602616803e-17,1.232595164407831e-32
implicit_heat_step.csv,illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,backward_euler_weighted_symmetry_residual,8.908903116496108e-17,8.908903116496109e-17,1.232595164407831e-32
implicit_heat_step.csv,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,backward_euler_weighted_symmetry_residual,1.3892988802106242e-16,1.389298880210624e-16,2.465190328815662e-32
implicit_heat_step.csv,reference_mole_k2_m200,backward_euler_weighted_symmetry_residual,0.0689801983288642,0.06898019832886426,5.551115123125783e-17
implicit_heat_step.csv,reference_mole_k4_m200,backward_euler_weighted_symmetry_residual,0.143669103337978,0.14366910333797817,1.6653345369377348e-16
implicit_heat_step.csv,reference_mole_k6_m200,backward_euler_weighted_symmetry_residual,0.5060009209352515,0.506000920935252,4.440892098500626e-16
implicit_heat_step.csv,reference_mole_k8_m200,backward_euler_weighted_symmetry_residual,0.8733060366796169,0.8733060366796159,9.992007221626409e-16
implicit_heat_step.csv,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,backward_euler_weighted_symmetry_residual,8.878516211982682e-17,8.878516211982686e-17,3.697785493223493e-32
implicit_heat_step.csv,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,backward_euler_weighted_symmetry_residual,1.0661371334834007e-16,1.0661371334834016e-16,8.628166150854817e-32
implicit_heat_step.csv,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,backward_euler_weighted_symmetry_residual,1.1320173219626043e-16,1.132017321962604e-16,2.465190328815662e-32
implicit_heat_step.csv,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,backward_euler_weighted_symmetry_residual,6.485264217273285e-17,6.485264217273282e-17,2.465190328815662e-32
