tau_t_over_h2,leading_exact_candidate_q_energy_amplification,mole_order6_native_q_energy_amplification
0.0,1.0000000000000444,1.0000000000000013
0.05,0.999975326293397,1.0163121112015208
0.1,0.9999506531955854,1.0315791031020358
0.15,0.9999259807065503,1.044656897344637
0.2,0.9999013088262781,1.0547534314481724
0.25,0.999876637554752,1.061506108014885
0.3,0.9998519668919583,1.064948807278956
0.32,0.9998420987972829,1.0654656748969125
0.33,0.9998371647864676,1.0655539012047928
0.333,0.9998356845879708,1.0655591107815248
0.34,0.9998322308000004,1.0655340982834793
0.35,0.9998272968378803,1.0654105629940924
0.4,0.999802627392506,1.063394868739465
0.5,0.9997532903277995,1.0542098789972811
0.6,0.9997039556977193,1.0416099018486145
